dbname	domain	ns_id	ns_name
amwiktionary_p	am.wiktionary.org	7	ስዕል ውይይት
amwiktionary_p	am.wiktionary.org	6	ስዕል
amwiktionary_p	am.wiktionary.org	5	Wiktionary ውይይት
amwiktionary_p	am.wiktionary.org	4	Wiktionary
amwiktionary_p	am.wiktionary.org	3	አባል ውይይት
amwiktionary_p	am.wiktionary.org	2	አባል
amwiktionary_p	am.wiktionary.org	1	ውይይት
amwiktionary_p	am.wiktionary.org	0	
amwiktionary_p	am.wiktionary.org	-1	ልዩ
amwiktionary_p	am.wiktionary.org	-2	ፋይል
angwiki_p	ang.wikipedia.org	0	
angwiki_p	ang.wikipedia.org	6	Biliþ
angwiki_p	ang.wikipedia.org	7	Biliþgesprec
angwiki_p	ang.wikipedia.org	10	Bysen
angwiki_p	ang.wikipedia.org	11	Bysengesprec
angwiki_p	ang.wikipedia.org	14	Flocc
angwiki_p	ang.wikipedia.org	15	Floccgesprec
angwiki_p	ang.wikipedia.org	1	Gesprec
angwiki_p	ang.wikipedia.org	12	Help
angwiki_p	ang.wikipedia.org	13	Helpgesprec
angwiki_p	ang.wikipedia.org	-2	Media
angwiki_p	ang.wikipedia.org	8	MediaWiki
angwiki_p	ang.wikipedia.org	9	MediaWiki talk
angwiki_p	ang.wikipedia.org	-1	Syndrig
angwiki_p	ang.wikipedia.org	2	User
angwiki_p	ang.wikipedia.org	3	User talk
angwiki_p	ang.wikipedia.org	4	Wikipedia
angwiki_p	ang.wikipedia.org	5	Wikipedia talk
angwikibooks_p	ang.wikibooks.org	0	
angwikibooks_p	ang.wikibooks.org	6	Biliþ
angwikibooks_p	ang.wikibooks.org	7	Biliþgesprec
angwikibooks_p	ang.wikibooks.org	10	Bysen
angwikibooks_p	ang.wikibooks.org	11	Bysengesprec
angwikibooks_p	ang.wikibooks.org	14	Flocc
angwikibooks_p	ang.wikibooks.org	15	Floccgesprec
angwikibooks_p	ang.wikibooks.org	1	Gesprec
angwikibooks_p	ang.wikibooks.org	12	Help
angwikibooks_p	ang.wikibooks.org	13	Helpgesprec
angwikibooks_p	ang.wikibooks.org	-2	Media
angwikibooks_p	ang.wikibooks.org	8	MediaWiki
angwikibooks_p	ang.wikibooks.org	9	MediaWiki talk
angwikibooks_p	ang.wikibooks.org	-1	Syndrig
angwikibooks_p	ang.wikibooks.org	2	User
angwikibooks_p	ang.wikibooks.org	3	User talk
angwikibooks_p	ang.wikibooks.org	4	Wikibooks
angwikibooks_p	ang.wikibooks.org	5	Wikibooks talk
angwikiquote_p	ang.wikiquote.org	0	
angwikiquote_p	ang.wikiquote.org	6	Biliþ
angwikiquote_p	ang.wikiquote.org	7	Biliþgesprec
angwikiquote_p	ang.wikiquote.org	10	Bysen
angwikiquote_p	ang.wikiquote.org	11	Bysengesprec
angwikiquote_p	ang.wikiquote.org	14	Flocc
angwikiquote_p	ang.wikiquote.org	15	Floccgesprec
angwikiquote_p	ang.wikiquote.org	1	Gesprec
angwikiquote_p	ang.wikiquote.org	12	Help
angwikiquote_p	ang.wikiquote.org	13	Helpgesprec
angwikiquote_p	ang.wikiquote.org	-2	Media
angwikiquote_p	ang.wikiquote.org	8	MediaWiki
angwikiquote_p	ang.wikiquote.org	9	MediaWiki talk
angwikiquote_p	ang.wikiquote.org	-1	Syndrig
angwikiquote_p	ang.wikiquote.org	2	User
angwikiquote_p	ang.wikiquote.org	3	User talk
angwikiquote_p	ang.wikiquote.org	4	Wikiquote
angwikiquote_p	ang.wikiquote.org	5	Wikiquote talk
angwiktionary_p	ang.wiktionary.org	0	
angwiktionary_p	ang.wiktionary.org	6	Biliþ
angwiktionary_p	ang.wiktionary.org	7	Biliþgesprec
